Total,Sport,Age,Height,Weight,Sex,HWbmi
0,Basketball,31,206,103,M,24.27184466
0,Tennis,25,174,60,F,19.81767737
0,Cycling - Road,31,182,71,M,21.43460935
0,Basketball,27,203,108,M,26.20786721
0,Tennis,26,175,71,F,23.18367347
0,Tennis,23,190,77,M,21.32963989
0,Basketball,29,189,83,M,23.2356317
0,Cycling - Road,31,174,64,M,21.13885586
0,Basketball,32,182,70,F,21.13271344
0,Cycling - Road,26,183,67,M,20.00656932
0,Tennis,24,182,72,M,21.73650525
0,Basketball,27,198,82,F,20.91623304
0,Basketball,27,194,83,F,22.05335317
0,Tennis,22,182,70,F,21.13271344
0,Cycling - Road,22,176,68,M,21.95247934
0,Cycling - Road,29,174,70,M,23.1206236
0,Basketball,37,162,63,F,24.00548697
0,Cycling - Road,23,,,M,
0,Cycling - Road,25,172,67,M,22.64737696
0,Basketball,26,188,92,M,26.02987777
0,Cycling - Road,31,175,73,M,23.83673469
0,Cycling - Road,26,184,77,M,22.74338374
0,Basketball,22,188,87,M,24.6152105
0,Basketball,33,167,61,F,21.87242282
0,Basketball,24,178,76,F,23.98687034
0,Basketball,32,210,112,M,25.3968254
0,Basketball,29,183,72,F,21.49959688
0,Basketball,31,189,85,M,23.79552644
0,Tennis,26,178,70,F,22.09317005
0,Basketball,27,182,64,F,19.321338
0,Tennis,30,172,67,F,22.64737696
0,Basketball,25,177,70,F,22.34351559
0,Tennis,35,192,89,M,24.14279514
0,Tennis,22,178,70,F,22.09317005
0,Basketball,32,190,86,M,23.82271468
0,Cycling - Road,25,165,52,F,19.10009183
0,Tennis,32,156,53,F,21.77843524
0,Tennis,32,190,80,M,22.16066482
0,Basketball,24,190,94,M,26.03878116
0,Tennis,30,188,85,M,24.04934359
0,Tennis,30,175,71,M,23.18367347
0,Cycling - Road,24,180,71,M,21.91358025
0,Basketball,23,208,118,M,27.27440828
0,Tennis,28,180,75,M,23.14814815
0,Tennis,27,177,72,F,22.98190175
