Total ,Sport,Age,Height,Weight,Sex
0,Basketball,27,211,125,M
0,Boxing,28,182,,M
0,Table Tennis,36,180,84,M
0,Wrestling,26,176,74,M
0,Football,22,183,79,M
0,Athletics,23,186,80,M
0,Cycling - Track,23,162,62,F
0,Canoe Sprint,22,180,85,M
0,Cycling - Mountain Bike,22,187,67,M
0,Beach Volleyball,29,185,88,M
1,Cycling - Road,25,,,M
0,Canoe Sprint,29,183,87,M
0,Gymnastics - Rhythmic,16,171,,F
0,Synchronised Swimming,23,169,,F
0,Judo,23,160,48,F
0,Judo,28,186,90,M
0,Rowing,30,198,108,M
0,Sailing,23,191,97,M
1,Judo,29,158,48,F
0,Shooting,19,182,72,M
0,Water Polo,26,163,55,F
0,Wrestling,24,166,60,M
0,Shooting,21,168,56,F
0,Athletics,21,177,59,M
0,Wrestling,22,,72,F
0,Wrestling,24,180,84,M
0,Shooting,36,185,95,M
0,Athletics,30,181,65,M
0,Swimming,22,183,79,M
0,Athletics,28,163,45,F
0,Athletics,32,178,63,F
0,Canoe Slalom,24,185,80,M
0,Football,22,182,72,M
0,Sailing,26,176,69,F
0,Shooting,32,178,100,M
0,Swimming,23,186,80,M
0,Hockey,27,188,88,M
0,Athletics,26,185,72,M
0,Fencing,22,178,69,F
0,Canoe Sprint,26,174,70,F
0,Athletics,22,170,55,F
0,Equestrian,49,168,60,F
0,Athletics,27,163,54,F
0,Athletics,26,162,49,F
0,Triathlon,29,164,52,F
0,Cycling - Mountain Bike,21,167,60,F
0,Shooting,31,162,61,F
0,Water Polo,20,185,88,F
0,Basketball,19,208,100,M
0,Taekwondo,23,190,,M
0,Athletics,28,180,68,M
0,Basketball,26,200,93,M
0,Volleyball,31,180,70,F
0,Canoe Sprint,35,169,64,F
0,Athletics,25,168,59,F
0,Shooting,44,184,95,M
0,Shooting,30,,,M
0,Table Tennis,16,165,54,F
0,Athletics,27,188,77,M
0,Athletics,23,,,M
0,Gymnastics - Artistic,19,162,,M
0,Weightlifting,20,180,105,M
0,Handball,28,192,90,M
0,Athletics,24,185,82,M
0,Badminton,22,,,F
0,Rowing,24,169,57,F
0,Diving,27,158,48,F
0,Cycling - Road,25,167,60,F
0,Wrestling,22,165,55,M
0,Football,21,197,79,M
0,Hockey,24,178,78,M
0,Athletics,27,199,86,M
0,Wrestling,22,198,120,M
0,Athletics,29,180,69,M
0,Shooting,44,173,91,M
0,Tennis,19,180,69,F
0,Swimming,23,164,54,F
0,Cycling - Road,28,164,61,F
0,Badminton,33,168,75,M
0,Water Polo,19,176,66,F
0,Fencing,25,182,71,M
0,Swimming,22,174,70,F
0,Swimming,21,173,61,F
0,Swimming,23,,,M
0,Wrestling,29,175,74,M
0,Athletics,30,188,69,M
0,Swimming,26,171,62,F
0,Athletics,28,190,85,M
0,Football,22,185,75,M
0,Badminton,21,165,50,F
0,Swimming,26,170,66,F
0,Football,20,171,66,M
1,Rowing,22,186,74,F
0,Football,22,184,80,M
0,Cycling - Road,26,185,76,M
0,Table Tennis,29,180,71,M
0,Tennis,27,,,M
0,Taekwondo,26,181,,M
0,Rowing,26,190,91,M
0,Equestrian,42,,,M
0,Taekwondo,28,184,,M
0,Canoe Sprint,30,193,100,M
0,Canoe Sprint,24,195,97,M
0,Swimming,19,164,59,F
0,Triathlon,26,175,64,M
0,Wrestling,30,,,M
0,Cycling - BMX,23,180,91,M
0,Athletics,25,179,68,M
0,Athletics,23,193,98,M
0,Water Polo,36,201,111,M
0,Athletics,20,193,83,M
1,Canoe Slalom,33,176,78,M
1,Swimming,22,181,67,F
0,Athletics,23,192,83,M
0,Cycling - Road,32,190,76,M
0,Swimming,24,188,90,M
0,Volleyball,23,197,93,M
0,Volleyball,23,196,93,M
0,Athletics,24,170,62,F
0,Synchronised Swimming,20,170,,F
0,Athletics,24,155,50,M
0,Athletics,21,175,59,F
0,Shooting,41,178,90,M
0,Shooting,24,,,M
0,Hockey,23,189,81,M
0,Swimming,15,172,60,F
0,Athletics,25,169,58,M
0,Gymnastics - Artistic,23,165,,M
0,Wrestling,25,,,M
0,Swimming,22,168,58,F
0,Wrestling,30,177,96,M
0,Canoe Sprint,37,188,90,M
0,Sailing,24,186,98,M
0,Football,23,190,80,M
0,Athletics,28,,,F
0,Fencing,26,175,69,M
0,Swimming,22,174,69,M
0,Handball,33,191,95,M
0,Equestrian,40,170,67,F
0,Hockey,31,180,77,M
0,Hockey,26,181,70,F
0,Boxing,21,173,,M
0,Athletics,23,176,60,M
0,Hockey,27,175,70,M
1,Swimming,25,180,67,F
0,Athletics,23,189,80,M
0,Swimming,21,186,80,M
0,Shooting,39,166,89,F
0,Tennis,28,175,70,F
0,Athletics,28,165,60,F
0,Wrestling,28,186,120,M
0,Athletics,26,160,50,F
0,Swimming,15,,,F
0,Archery,25,,,M
0,Athletics,25,200,81,M
0,Badminton,24,167,65,F
0,Rowing,28,188,88,M
0,Athletics,27,190,100,M
0,Handball,22,197,90,M
0,Archery,23,168,56,F
0,Athletics,25,178,64,F
0,Triathlon,35,180,71,M
0,Athletics,25,170,58,F
0,Swimming,16,170,60,F
0,Beach Volleyball,25,181,68,F
0,Water Polo,38,187,89,M
0,Handball,23,195,95,M
0,Athletics,22,175,63,F
0,Cycling - Track,22,158,60,F
0,Volleyball,31,188,72,F
0,Sailing,22,171,70,F
0,Equestrian,19,171,56,F
0,Football,22,171,71,M
0,Swimming,23,177,65,F
0,Judo,31,179,70,F
0,Swimming,28,195,84,M
0,Basketball,29,194,85,M
0,Handball,31,178,78,F
0,Athletics,23,168,58,F
0,Swimming,28,170,63,F
0,Football,23,182,70,M
0,Weightlifting,26,160,48,F
0,Football,27,181,69,F
0,Volleyball,32,185,74,M
0,Handball,25,180,73,F
0,Football,21,178,76,F
0,Shooting,29,170,79,M
0,Boxing,32,,,M
0,Basketball,28,205,97,M
0,Athletics,21,189,75,M
0,Archery,19,171,57,F
0,Boxing,25,162,,M
0,Football,30,178,73,F
0,Handball,32,175,64,F
0,Wrestling,29,188,120,M
0,Rowing,24,183,70,M
0,Athletics,23,175,58,F
0,Football,23,180,74,M
2,Swimming,23,171,59,F
0,Sailing,30,177,66,M
0,Athletics,21,183,64,F
0,Boxing,19,157,,M
0,Hockey,28,171,58,F
0,Athletics,29,176,65,M
0,Athletics,29,,,F
0,Athletics,25,193,94,M
0,Athletics,19,191,73,M
0,Athletics,21,172,60,M
0,Handball,19,173,75,F
0,Athletics,32,160,50,F
0,Diving,23,163,52,F
0,Athletics,20,178,66,M
0,Equestrian,56,180,78,M
0,Athletics,29,,,M
0,Swimming,18,163,58,F
0,Athletics,21,189,65,M
1,Rowing,23,188,73,M
0,Cycling - Road,27,184,73,M
0,Diving,28,170,61,F
0,Basketball,21,175,64,F
1,Shooting,27,170,55,F
0,Athletics,34,187,143,M
0,Tennis,22,185,75,F
0,Athletics,22,184,60,M
0,Shooting,30,168,74,F
0,Hockey,24,169,63,F
1,Rowing,28,178,73,M
0,Volleyball,25,198,96,M
0,Swimming,29,190,98,M
0,Shooting,40,189,85,M
0,Athletics,26,175,56,F
0,Basketball,22,174,65,F
0,Taekwondo,21,173,,F
0,Athletics,30,172,54,M
0,Football,18,184,85,M
0,Athletics,28,170,73,M
0,Athletics,25,182,72,M
0,Football,22,174,71,M
0,Hockey,29,157,58,F
0,Synchronised Swimming,21,170,,F
0,Handball,24,182,77,F
0,Sailing,29,191,81,M
0,Football,21,192,89,M
0,Athletics,23,183,77,M
0,Shooting,23,,,F
0,Cycling - Mountain Bike,28,178,68,M
0,Swimming,24,184,79,M
0,Athletics,30,170,60,M
0,Gymnastics - Artistic,24,171,,M
0,Cycling - Road,23,173,53,F
0,Swimming,22,,,F
0,Diving,24,167,62,F
0,Basketball,31,193,89,F
0,Athletics,33,180,68,M
1,Rowing,25,190,92,M
0,Cycling - Mountain Bike,24,161,48,F
0,Basketball,23,203,96,M
0,Handball,27,172,58,F
0,Cycling - Road,27,190,80,M
1,Cycling - Track,27,181,94,M
0,Sailing,29,188,77,M
0,Athletics,23,178,55,F
0,Swimming,20,176,68,F
0,Badminton,33,181,71,F
0,Cycling - Track,39,173,59,F
0,Swimming,19,180,73,M
0,Judo,25,182,90,M
0,Beach Volleyball,30,183,72,F
0,Wrestling,26,175,66,M
0,Wrestling,32,163,55,M
0,Athletics,26,189,80,M
0,Basketball,25,208,115,M
0,Taekwondo,30,167,,M
0,Weightlifting,28,167,69,M
0,Wrestling,25,160,55,M
0,Wrestling,27,168,66,M
0,Athletics,24,175,64,M
0,Weightlifting,30,165,62,M
0,Cycling - Road,31,170,66,M
0,Diving,24,170,59,F
0,Triathlon,28,174,58,F
0,Athletics,29,170,,F
0,Sailing,27,167,58,F
0,Athletics,28,172,60,F
0,Water Polo,25,180,79,F
0,Water Polo,27,193,115,M
0,Volleyball,26,182,65,F
0,Water Polo,36,201,100,M
0,Swimming,22,162,50,F
0,Weightlifting,23,166,69,F
0,Archery,25,164,60,F
0,Fencing,25,183,76,M
0,Canoe Sprint,30,191,91,M
0,Boxing,21,165,,M
0,Equestrian,27,169,56,F
0,"Cycling - Road, Cycling - Track",29,173,63,F
0,Athletics,20,,,F
0,Rowing,23,202,96,M
0,Athletics,24,175,57,F
0,Weightlifting,25,160,58,F
0,Tennis,21,181,67,F
0,Gymnastics - Artistic,23,163,,M
0,Athletics,27,196,94,M
0,Basketball,28,180,71,F
1,Swimming,19,168,66,F
0,Athletics,33,191,72,F
0,Athletics,30,167,59,M
0,Athletics,25,168,62,M
0,Athletics,21,195,88,M
0,Wrestling,22,,,M
0,Athletics,31,178,70,M
0,Sailing,30,180,70,F
0,Sailing,29,173,62,M
1,Rowing,27,176,72,F
0,Athletics,23,156,44,F
0,Athletics,24,168,46,F
0,Volleyball,17,176,58,F
